Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,86.85964912280701,11.648787,43.712389279255824,43.712389279255824,1.0
20000,1.4189383,86.99122807017544,11.700976,43.8192980582254,43.8192980582254,1.0
30000,1.4203212,86.97368421052632,12.150943,43.80964928342585,43.80964928342585,1.0
40000,1.4203912,87.1858407079646,12.205731,43.85044243061437,43.85044243061437,1.0
50000,1.4235752,87.00877192982456,12.696196,43.81491216023763,43.81491216023763,1.0
60000,1.423933,86.23684210526316,12.657709,43.44649134184185,43.44649134184185,1.0
70000,1.4273199,86.55263157894737,13.050178,43.56929839284796,43.56929839284796,1.0
80000,1.4279327,86.29565217391304,13.206058,43.4286955791971,43.4286955791971,1.0
90000,1.4311229,86.89473684210526,13.566329,43.72017545867384,43.72017545867384,1.0
100000,1.4319514,86.58771929824562,13.832695,43.636842058416,43.636842058416,1.0
110000,1.4335552,86.6842105263158,14.137204,43.64385972943222,43.64385972943222,1.0
120000,1.4341125,86.6140350877193,14.329946,43.62105265834875,43.62105265834875,1.0
130000,1.4343237,86.65789473684211,14.725226,43.635964945742955,43.635964945742955,1.0
140000,1.4344196,86.90350877192982,15.114989,43.723684310913086,43.723684310913086,1.0
150000,1.4355798,87.13274336283186,15.806379,43.899999871718144,43.899999871718144,1.0
160000,1.436252,86.93859649122807,16.509924,43.782456180505584,43.782456180505584,1.0
170000,1.4376253,86.41739130434783,17.121231,43.49391313635785,43.49391313635785,1.0
180000,1.4386176,86.51754385964912,17.352907,43.515789333142735,43.515789333142735,1.0
190000,1.4400944,87.00884955752213,17.857628,43.813274316028156,43.813274316028156,1.0
200000,1.4414141,87.48672566371681,18.13041,44.01415927853205,44.01415927853205,1.0
210000,1.4419643,87.56637168141593,18.639128,44.11769920956772,44.11769920956772,1.0
220000,1.4425875,87.37719298245614,19.690094,43.97017552559836,43.97017552559836,1.0
230000,1.4438775,87.02654867256638,20.15608,43.854867344408966,43.854867344408966,1.0
240000,1.4456426,87.0,20.448887,43.828070322672524,43.828070322672524,1.0
250000,1.4464043,86.71929824561404,20.90242,43.63157894736842,43.63157894736842,1.0
260000,1.4476694,87.14159292035399,21.401989,43.86637152612737,43.86637152612737,1.0
270000,1.4486485,86.85087719298245,21.109219,43.69912291409676,43.69912291409676,1.0
280000,1.4507134,86.99122807017544,21.522524,43.79824551364832,43.79824551364832,1.0
290000,1.4518697,87.04424778761062,21.821775,43.832743484362034,43.832743484362034,1.0
