Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.9143403,999.0,-79.97329068183899,-79.97329068183899,1.0
20000,1.4189383,1.2335068,999.0,-72.1182508468628,-72.1182508468628,1.0
30000,1.4172375,0.54335773,999.0,-48.03714916706085,-48.03714916706085,1.0
40000,1.4171426,0.94784784,999.0,-115.03122697472573,-115.03122697472573,1.0
50000,1.4163951,1.0738829,999.0,-58.283287060260776,-58.283287060260776,1.0
60000,1.4163115,1.0294802,999.0,-114.2217268705368,-114.2217268705368,1.0
70000,1.4183122,0.6382594,999.0,-83.7308477461338,-83.7308477461338,1.0
80000,1.4186724,0.99458104,999.0,16.533423763513564,16.533423763513564,1.0
90000,1.4194746,0.6829074,999.0,-59.326023805141446,-59.326023805141446,1.0
100000,1.4196764,0.7694988,999.0,-74.03817042112351,-74.03817042112351,1.0
110000,1.4198997,0.9074624,999.0,-69.33035031557083,-69.33035031557083,1.0
120000,1.4199754,0.84384966,999.0,-54.4910148024559,-54.4910148024559,1.0
130000,1.4200752,0.93366015,999.0,-24.10231831073761,-24.10231831073761,1.0
140000,1.4201181,0.8724532,999.0,25.533477810025214,25.533477810025214,1.0
150000,1.4209194,0.792044,999.0,12.262649816274642,12.262649816274642,1.0
160000,1.4213581,1.0364128,999.0,-11.00801488161087,-11.00801488161087,1.0
170000,1.4210746,0.6305294,999.0,-24.376495003700256,-24.376495003700256,1.0
180000,1.4208834,0.63638365,999.0,-75.36804519891739,-75.36804519891739,1.0
190000,1.421298,0.7278832,999.0,-34.55993137359619,-34.55993137359619,1.0
200000,1.4216404,0.39597255,999.0,-10.471895730495453,-10.471895730495453,1.0
210000,1.4209969,0.1146607,999.0,-67.44518527388573,-67.44518527388573,1.0
220000,1.4203504,0.7451647,999.0,37.02160496711731,37.02160496711731,1.0
230000,1.4200853,0.620324,999.0,35.565595778822896,35.565595778822896,1.0
240000,1.4197592,0.010952014,999.0,-69.03114314079285,-69.03114314079285,1.0
250000,1.4197941,0.17993017,999.0,-25.70773915052414,-25.70773915052414,1.0
260000,1.4198472,-0.10585725,999.0,-10.510707342624665,-10.510707342624665,1.0
